We do not believe that we should c her ry - p ick ||| Wir glau ben nicht , daß wir nur R os in en heraus p ick en sollten
I would ask you , Members of the European Parliament present here , to support this amendment by Mrs St en i us - K au k on en which all members of the Fin n ish parliament ac ross party b ound ar ies support ||| Auch ich bitte die hier an w es enden Mitglieder des Europäischen Parlaments , diesen Antrag von M ar j att a S ten i us K au kon en zu unterstützen , den alle f inn ischen Parlament ar ier über die Partei grenz en hin weg befür wor ten
They are s il ting up ||| Sie vers and en
France was the first to take di p l om atic and human it ar ian action ||| Frankreich hat als erst es auf d i p l om ati scher und h um an itä r er Ebene re ag iert
I con st ant ly bring this matter up both in w ri ting to the President and to the he ad s of the political groups ||| Ich bring e diese Angelegenheit l auf end sch rift lich sowohl beim Präsiden ten wie auch bei den Fraktion s l eit ern vor
Question No 7 by Mar í a I z qu i er d o R o j o ( H - 0 2 5 2 / 9 6 ) ||| Anfrage Nr . 7 von M ar í a I z qu ier d o R o j o ( H - 0 2 5 2 / 9 6 ) :
It is a question of how decisions are taken , that is to say whether this is done on the basis of a vote or of cons ens us , and whether un an im ity is required or some form of qu al if ied majority ||| Es geht darum , wie Besch lü sse gef aßt werden , d. h . ob dies durch Abstimmung oder Kon sen s ge schie ht , und ob Ein stimm igkeit oder eine Form von Mehrheit s verfahren gilt
N ep al is very high up and help ing this country where needs are very great must also be high up on our list ||| N e p al ist h och gel egen und muß auch an hoh er Ste lle unserer Tagesordnung stehen , um diesem Land , in dem große N ot besteht , zu h el fen
This commitment to negotiations between the social partners could initi ally be reached on four matters , which seem to me essential , as of now . N e goti ations must begin ||| Eine solche Verpflich tung der Sozial p art ner zu Verhandlungen könnte sich auf vier Teil bereich e kon zentr ieren , die mir von nun ab sehr wichtig er schein en
The Committee on Transport and T our ism has adopted four amendments for the second read ing ||| Der T ransp ort ausschuß hat für die zweite L es ung vier Änderungsanträge be schlossen
They will certainly en h ance the feel ing of the right of movement by EU citizens and they will also certainly benefit dis abled d ri vers ||| Sie werden bei den EU- B ür gern gew iß das Ge fü hl für das Recht auf Frei zü g igkeit st är ken , und sie werden gew iß auch beh inder ten Fahr ern Vor teil e bring en
The initi al Commission proposal was adopted un am end ed by Parliament on first read ing ||| Der u r sp rü ng liche Vorschlag der Kommission wurde vom Parlament in erster L es ung ohne Änder ungen verab schied et
Europe in particular has to remain a lead ing play er if it is to saf eg uard its international competi tiveness , not only in terms of economic perf orm ance but also in the exp lo it ation and w id es p read application of new for ms of techn olog y ||| B esonder s Europa muß , um seine intern ationale Wettbewerbs fähigkeit zu sich ern , nicht nur in seinen w issenschaft lichen L eist ungen , sondern auch bei der Umsetzung und der b reit en Anwendung neuer T echn olog ien weiter mit an der Sp it ze stehen
The abs ence of harmon i zed rules govern ing int el lect ual proper ty is not un i q ue to Europe ||| Nicht nur in Europa gibt es noch keine h arm on is ierten Regel ungen
We are gi ving a clear political sign al to the M or oc c an authorities to continue al ong the road towards li beral i z ation , political as well as economic ||| Wir über mittel n den m ar ok k an ischen Behörden eine eindeutig es politi sch es S ig n al , auf dem Weg der Ö ff nung auf politi scher wie wirtschaft licher Ebene weiter vor an zu schreit en
B oth demand a cre di ble and active policy to redu ce C O 2 em ission s through a comb in ation of inc en tive , regulation and prog res sive tax ation ||| Bei de erforder n eine glau b wür d ige und ak tive Politik zur S en k ung der C O 2 - E m iss ionen durch eine Kom b in ation von An rei z , Reg ul ierung und pro g r es si ver Be st eu erung
This is something which the committee as a whole f el t strong ly about in the resolution on the ann ual economic report and it is a significant o m ission that it is not in the resolution to w ind up this debate ||| In diesem Punkt hat der gesam te Ausschuß hinsichtlich der Entschließung zum Jahres wirtschaft s ber icht eine sehr de zi d ierte Auffassung . Es ist ein g ro b es Ver s ä um nis , daß dies im Entschließ ungs ent wurf f eh lt und die Debatte so nicht weiter geb racht wird
It is like the st ory of P l at o and the ca ve ; it is the sign if i er , not the sign if ied ||| Es ist die Gesch ichte von P l at on und der G ro t te , es geht um den S ig n i f ik ant und nicht den S ig n i f ik at
The Committee on Transport would therefore have been well adv ised to dev ote rather more attention to that committee ' s proposals , which were adopted with the strong back ing of the P P E Group and the support of the social ist Members ||| Des w egen wäre der Verkehr s ausschuß gut ber aten gew esen , sich etwas i nten si ver mit den dort gem ach ten Vorschlä gen aus einander zus etz en , die da mals mit b r eiter Zu stimmung der E V P -F ra ktion sowie mit Unterstützung der sozi al istischen Mitglieder angenommen wurden
In t en years , our dep end ence on fish import s has increased by 3 0 % ; and the process ing industry dep end s al most entire ly on import ed fish ||| In z ehn Jahren ist unsere Ab häng igkeit von den Ein f u hr en um 3 0 % gest ie gen , und die Ver arbeit ungs industrie hä ng t f ast nur noch vom im p or tier ten F isch ab
I hope we can look at and address proper ly the issue of qu ot a ho pp ers ||| Ich hoff e , daß wir uns mit dem Problem der Qu oten re gelung angem essen aus einander setz en können
The Commission he ed ed this call ||| Die Kommission hat diesen A pp ell vern ommen
S ub ject : T ender ing proced ures for mo b ile ph one l ic ences ||| Bet rifft : Aussch rei b ungs verfahren für M obil tel e f on l iz enz en
This means that ter re st ri al f re qu en ci es may face new competition in a form over which European s no longer have any inf lu ence ||| Das heiß t , daß hier in Kon k ur renz zu den t err est r ischen F re qu enz en etwas ent steh en könnte , das wir E uropä er nicht mehr mit ge st alten können
What I am saying is that we agree with the House on the need for action ||| Das heiß t also , wir glau ben mit dem Parlament , daß hier etwas gesch ehen muß
Thank you very much , Mr B ang em ann ||| Vielen Dank , Herr Kommissar B ang em ann
This s ort of un g ent le man ly con du ct is not accept able ||| Eine solche unser i ö se Politik ist nicht zu lä ss ig
It does not s ol ve the employment problem if the most we can do is offer f ir ms new pro fit mar gin s , which provid es no guarantee of employment , and also dam ag es the environment and social security ||| Auf diese Art und Weise l ö st man das Beschäftigungs pro blem nicht ; das b ie tet hö ch stens den Unternehmen neue Ge w inn m ar gen , gibt aber kein er lei Beschäftigungs g ara nt ie , sondern sch ä dig t die Umwelt und die soziale Sicherheit
It is all very well to have common min imum rules on the employment of ch ild r en , but my w if e and I do not need an EU directive to dec ide whether our s on should deli ver new sp ap ers ||| M indest vorsch riften für K inder arbeit sind sehr gut , aber meine Frau und ich brauchen keine Richtlin ien der EU , die uns sagen , ob unser S oh n Zeit ungen au st ragen darf oder nicht
So it is also necessary to establish very quickly whether the international pres ence in B os n ia , so fundamental to any recon struction effort , is to continue ||| Deshalb sollte auch in dieser Hin sicht r asch für den weiteren Ver bl ei b einer internationalen P rä sen z in B os n ien ges or gt werden , die als Grundlage für je de Art Wieder her stell ungs ver such u ner lä ß lich ist
I am gr ate ful to the President -in - O ffice for his answer . How ever , I am s or ry to have to say that the results of the D i R o ber t o m ission fall short of our expect ations ||| Ich dank e dem am tieren den Ratspräsiden ten für seine Ant wort , muß jedoch leider hin zu fü gen , daß die Ergebnisse der M iss ion Di R o ber t os nicht unseren Er w art ungen entsprech en
Therefore there is a need for a European directive ||| Deshalb besteht die Notwendigkeit einer europäischen Richtlinie
The procedure follow ed : comp l ain ts dec la red ad m is sible and pri m a fa ci e found ed are communic ated to the institution or bod y in question , which is asked to give a first opinion ||| Es fol g te das Verfahren : als zu lä ss ig bef unden e und p ri m a f a c ie beg ründ e te Besch wer den werden der bet reffen den Institution bzw. Organ mit ge teil t , die bzw. das er such t wird , eine erste Stellungnahme abzu geben
The work of the European O mb ud s man and the Pe ti tions Committee is comp lement ary ||| Die Arbeit des Europäischen Bürger be au ftrag ten und des P e ti tions aussch usses ist k omp l ement är
The ann ual activ ity report clearly states how the O mb ud s man ' s offic e work s and what citizens should do if they want to take matters to the O mb ud s man for consideration ||| Aus dem Tätigkeit s ber icht geht deutlich hervor , wie das Bür o des Bürger be au ftrag ten a r bei tet und wie die Bürger vorge hen sollen , damit ihre Angelegenheit beh andelt wird
H er support ers know that by g ather ing together they are def ying the rul ing j un t a ||| Ihre An häng er w issen , daß sie mit ihren Ver s a mm lungen der h err schen den Ju nt a die S ti r n b ie ten
The m il it ary authorities are still play ing too great a part in the social and political life of that n ation ||| Die M acht des M il itä r s ist noch immer all gegen wär tig im ges ellschaft lichen und politischen All t ag dieser N ation
The report clearly def ines which be ver ag es may be b ot t led in sp ark ling w ine b ot t les ||| Es wird im Berichts vorsch lag klar de f in iert , welche G et rä nk e in Sch aum w ein f la schen abge fü ll t werden dürfen
B ec ause c r é m ant , which has ac qu ire d its p at ent of no bility here , is not an issue just for one region but for the European Union , too ||| W eil der " C r é m ant " , der hier seinen A d el s b rie f er halten hat , nicht nur eine Region , sondern die gesam te Europäische Union ang eh t
S ince we to ok the initiative of t abl ing the or al question there has been some progress ||| S eit dem wird uns ent schlossen haben , die mü nd liche Anfrage einzu bring en , wurden bereits einige Fortsch ritte erziel t
But our first concern is to pres erve fish st oc ks , and especially her ring st oc ks ||| Uns er Haupt an liegen ist jedoch die Er hal tung der F isch be ständ e , insbesondere beim Her ing
The Commission , for its part , will continue to play an active part in the inter governmental con ference ||| Die Kommission wird bei der Regierungskonferenz auch weiterhin eine ak tive Rolle spiel en
Let me say to Mrs G re en and the other Members that it is not true that the con ciliation agreement with the European Parliament on the inf ra st ruct ure projects was un il ater ally chang ed at F l or ence ||| Frau G re en und die anderen Kollegen möchte ich darauf auf merksam machen , daß es nicht stimm t , daß in Fl or enz die Vermitt lungs ab sp rache mit dem Europäischen Parlament für In fra struktur pro jek te un il ater al abge änder t worden ist
A not her problem the M ol itor Group does not su ffic i ently deal with is implementation ||| Außerdem wird das Problem der un z ur eich enden Umsetzung von der M ol it or - G rupp e nicht ausreich end beh andelt
The same difficult y appli es , m ut a tis m ut and is as far as the European Parliament is concerned ||| M ut ati s m ut and is t rifft der gleich e Einw and auch auf das Europäische Parlament zu
The resolution sub mitted by our Committee on W omen ' s Right s des er ves the support of the European Parliament , the Commission and the Council ||| Die vorliegen de Entschließung unser es Ausschusses für die Rechte der Frau ist die Zu stimmung des Europäischen Parlaments , der Europäischen Kommission und des Rates wer t
My answer - and I hope Parliament ' s too - will be a directive aim ed at introdu cing a stat ut ory right to interest for f ir ms pa id un w ar r ant ably l ate ||| Meine Ant wort - und ich hoff e auch die des Parlaments - ist , daß wir eine Richtlinie brauchen , die einen ges etz lichen A nsp ruch auf die Z ah lung von Ver zug s z in sen durch Unternehmen beg ründ et , die Zahl ungen ab sichtlich hinaus z ö gern
It is an espe cial problem for our 1 7 million small and medium -si zed enter p ris es ||| Für unsere 1 7 M io . klein en und mit t l eren Unternehmen stellen sie jedoch ein besonders g ra v ier end es Problem dar
It is local authorities and large organ i z ation , qu ang os and national governments which are by and large responsible for a very high prop or tion of that ||| Im großen und ganz en sind auch die ö r t lichen Behörden und großen Or ganis ationen , die hal b staat lichen Or ganis ationen und Reg ierungen zu einem großen Teil sch ul d an der M is ere
Madam President , the European Council in F l or ence g ave the imp ression of en orm ous conf u sion where the problems of employment are concerned ||| Frau Präsidentin , in Fragen der Beschäftigung hat der Europäische Rat von Fl or enz ein sehr ver wir r end es Bild geb oten
I to ok it over at the begin ning of this Parliament , a lot of the work on it having already been done by a colleag ue of m ine , C la ud e D el c ro i x ||| Ich habe ihn zu Beg inn der Wahl per io de dieses Parlaments über n ommen , und ein G roß teil der Arbeit daran wurde bereits von meinem Kollegen C lau de D el c ro i x gel eist et
Rep resent atives of all sect ors of industry have indic ated , at a public hear ing , that they see h uge problems with the Commission proposals ||| Vertreter aus allen Bereichen der Ind ustrie haben bei einer öffentlichen An h ör ung erklär t , daß sie durch die Vorschläge der Kommission erheb liche Schwier igkeiten auf sich zu kommen sehen
First ly , in draw ing up any new proposal , the Council and the Commission must take account of the views of the trade un ion s ||| Als erst es : J eder neue Entwurf ist unter Hin zu zieh ung der Ge werk schaften auszu arbeit en
A re there any other comments ? ||| G ib t es Einw änd e ?
We therefore wish to see clear word ing here as well ||| Des w egen wollen wir auch hier klar e Form ul ierungen
N ever thel ess , the re jec tion of cons u mp tive em b ry o research - and on this point we are ag reed - requ i res cons ist ency ||| Die Ab l eh nung der verb rau chen den E m b r y on en for sch ung - in diesem Punkt sind wir uns ja ein ig - be ding t aber auch eine Kon se qu enz
No such decision has as yet been taken ||| Ein entsprech en der Be schluß ist noch nicht gef aßt worden
The sch e me was to be set up this a ut um n and the aid pa id direct to women ' s net wor ks by the Commission ||| Sie soll ang eb lich bereits zum Her b st einge führt und von der Kommission d ir ekt an Frau enn etz werk e ausge z ah lt werden
I therefore congratulate the European Parliament for having organ i zed this debate , and would end by thank ing you for inv iting the Commission to take part in it ||| Daher g ra t ul ier e ich dem Europäischen Parlament zu seiner Initiative , diese Debatte zu ver an st alten , und ich möchte Ihnen zum Schluß Dank für die Beteil igung der Kommission an dieser Debatte sagen
How can one remain independent or cla im to be comb ating cor ru p tion if , at the same time , one is in rece ip t of l ar g es se , obvious ly with str ings att ach ed ? ||| Wie soll einer seine Un abhäng igkeit wahr en , wie kann er beh aup ten , gegen K or ru p tion vorzu gehen , wenn er selbst Zu wend ungen an n imm t , die natürlich irgend w el chen Interessen d ien en ?
C itiz ens have a better gr as p of their rights and oblig ations ||| Das Ver ständ nis der Bürger für ihre Rechte und Pf lich ten hat sich verbess ert
And the D ub lin European Council will recon f irm 1 J an u ary , 1999 as the begin ning of the Th ird St age of E M U ||| Der Europäische Rat in D u bl in wird den 1 . J an u ar 1999 als Beg inn der D ritten St u fe der E W U noch mals best ä tigen
In my view that re in for ces the argu ment that one should not believe that E M U will a ut om atic ally mean jobs ||| Das bedeutet meines Erachtens ein st ich hal tig es Ar g ument dafür , nicht darauf zu vert rau en , daß die W W U au t om ati sch zur Schaffung von Arbeitsplätz en führ t
The first one is in relation to the H el ms - B ur t on legislation and our relations with the United States ||| Zunächst geht es um das H el m s- B ur t on - G es etz und unsere Bezieh ungen zu den Vereinigten Staaten
If you look at Parliament ' s di ary for 1997 , you will find that 8 and 15 S ep t ember are actually S und ay s and week - ending day s , not week -b eg in ning day s ||| Wenn Sie nun einen B l ick auf den Tag ungs k alen der des Parlaments für 1997 wer fen , werden Sie fest stellen , daß der 8 . und der 15 . Se p te m ber je wei ls S on nt age sind und so mit die Woch e be enden und nicht beg innen
M e i er recommend ation for second read ing ||| Z ur Empfeh lung für die zweite L es ung M ei er
R ec ently a German Council official to ld me that his Brus sels offic e might as well be in B on n , as his main point of reference was the German F ore ign Min ist ry ||| K ürz lich teil te mir ein deu t scher Bed ienst et er des Rates mit , daß sein B rü ssel er Bür o ebenso g ut in B on n sein könn e , da sein Haupt be zug sp unkt das deu t sche Außen min ister ium sei
We refer to this in paragraph 4 of our resolution , the four th ind ent , where we specifically state that the current approach is based on wish ful think ing ||| In Ab satz 4 . 4 unserer Entschließung w ei sen wir aus drück lich darauf hin , daß sich der a kt u elle Ans atz auf ein r ein es W un sch denken st ütz t
A major part of this work will be ens uring greater economic policy coordin ation between all 15 Member States ||| Ein großer Teil der Arbeit wird darin besteh en , eine größ ere politische Koordin ation zwischen allen 15 Mitglied s staaten sicher zu stellen
This would c ut down a great deal on ab du ctions ||| Da durch würde die Zahl der K ind es ent führ ungen wesent lich ges en kt werden
T ra dition ally , responsibility for decisions on c ust od y has res ted with national authorities ||| T ra di tion ell wird die Verantwortung für Besch lü sse in Fragen des S or ger echt s n ational g ere ge lt
Of course there is a differ ence ||| N atürlich gibt es da einen Unter schied
At the same time , I cannot appro ve of terr or ist act s in any form ||| F ern er kann ich t err or ist ische Hand lungen , in welch er Form auch immer , nicht akzep tieren
The vol u me of produ ction in the sh eep me at sector is only 1 0 to 15 % of that in the be ef and v e al sector ||| Die Schaff lei scher zeu gung ent sp richt ja nur 1 0 % bis 15 % der R ind f lei scher zeu gung
This is the whole point ! ||| Das ist der Punkt !
The necessary cor re ction will be made ||| Eine entsprech ende Änderung wird vor genommen werden
Madam President , our main concern through this report and through this vote was , once more , to make it clear to the Commission that we will not accept further c ut s in sp ending on development ||| Frau Präsidentin ! Uns g ing es bei diesem Bericht bzw. bei dieser Abstimmung noch einmal darum , der Kommission klar zu machen , daß wir die weitere St reich ung von Gel der n im Entwicklungs bereich nicht hin nehmen wollen
But yesterday ' s p ap ers said that He ine k en had not in fact p ull ed out ||| Ge st ern aber st and in der Zeit ung , daß sich H ein ek en über h aupt nicht zurück ge zogen habe
The rep at ri ation oper ations are progress ing sm o oth ly ||| Die Rück führ ungs vor g äng e l au fen übrigen s r ei b ungs los ab
Israel also points the way in the produ ction of e du c ational so ft w are ||| Eben falls im Bereich der Produ ktion von e du c ational so ft war e ist Israel w eg weis end
At the same time , it contrib utes to a redu ction in the amount of be ef produ ced ||| Gleich zeitig führ t sie zu einer Re du z ierung der R ind f lei sch pro du ktion
I th us look forward e ag er ly to the Commission ' s communication and I should like to start this debate a f res h with a number of questions ||| Als o erwar te ich die Mitteilung der Kommission sehr ges p annt und bin g ern zu einer neuer lichen Debatte bereit , bei der ich eine Rei he Fragen stellen möchte
I know that it is not e as y , or something that can be achie ved by tomorrow mor ning . S pe aking for myself , I simply want us to be able to con du ct our deli ber ations on a more re li able basis ||| Ich weiß , daß dies nicht l eicht ist ; es kann auch nicht von heute auf morgen gesch ehen , doch halte ich es wün schen s wer t , daß wir an hand zu ver lä ss iger er D aten disku tieren
The Commission has not even g ot as far as sub mit ting a proposal ||| Die Kommission hat noch nicht einmal einen r ichtigen Vorschlag dazu eing er eicht
We do not need a central offic e for the whole of Europe which c entr ally comp il es all the off ences that have to be enter ed in the rec ord of p en al ty points ! ||| Wir brauchen keine z entra le Ste lle für ganz Europa , wo alle Or d nungs w id r igkeiten , die einen Ein t rag ins Punkt er eg ister nach sich zie hen , z entral ges a mm elt werden !
But I would like to know what per c ent age of all c ust om s official s in those countries are tra ined to oper ate this kind of system ||| Aber ich würde doch g ern einmal h ör en , welch er Ant eil der gesamten Z oll be am ten dieser Länder so weit aus geb ild et ist , daß er mit dieser Art System um gehen kann
How is it possible for the Commission to extend the trans it system to other e ast ern countries before a system in co ll ap se has been completely reform ed in order to c ur b fraud ? ||| Wie kann die Kommission das Ver s and verfahren auf die anderen O st länder aus d eh nen , bevor ein k oll ab ier end es Verfahren voll ständ ig re form iert worden ist , um die Bet rü ger ei en einzu d ä mmen ?
We believe that the resources should be increased in line with the problems and needs of our country and that measures must be put in place to spe ed up the abs or p tion of funding and to monitor its use ||| Wir sind der Ansicht , daß die Mittel entsprechend den Problem en und den Bed ür f nissen unser es Land es erh öh t werden müssen , außer dem sind Maßnahmen zur Besch l eu n igung des Mit te la b f l usses und zur Kontrolle ihrer Ver wendung zu erg reifen
The vote will take place tomorrow at 12 no on ||| Die Abstimmung findet morgen um 12 . 00 U hr statt
Fin ally , paragraph 9 3 states that the extre me right - w ing par ties adv oc ate xenophob ia ||| Sch ließ lich wird in Ab satz 9 3 beh aup tet , daß die recht se xt rem en Partei en Fremden f eind lichkeit beg ün st igen
As k ing for asylum is not a crime , and should not be treat ed as such ||| Denn ein A sy la nt rag ist keine k rimin elle Tat und darf auch nicht so beh andelt werden
( rapporteur : Mr van d er W a al ) ||| ( Berichterstatter : Herr v an der W a al )
There is a need for continu ity in decisions of the kind we have already taken here in the House on te le c omm un ic ations inf ra st ruct ure ||| Es bed arf einer Kont in u ität von Besch lü ssen , wie wir sie bereits zu den T el ek omm un ik ation s in fra struktur en in diesem Haus e gef aßt haben
We need detail ed , conc re te proposals ||| Wir ben ö tigen d et a ill ierte , konk re te Vorschläge
Un fortun ately , at this stage the run ning is being made by Am er ic an companies and we are much s low er in c at ch ing up on development of this so ft w are ||| L ei der machen die am er ik an ischen F ir men derzeit das R en nen . Wir haben einen Nach hol be d arf in bezug auf die Entwicklung derar tig er So ft war e und sind viel lang sam er
Con sequ ently , as my report say s , this is what we must do ||| In folge d essen müssen wir - wie in meinem Bericht er lä u ter t - entsprechend vorge hen
( Parliament adopted the legislative resolution ) ||| ( Das Parlament n imm t den Entwurf der leg is la tiven Entschließung an . )
The IGC must amend the Treaty so that it includ es the fundamental right of equ ality between the se x es , but yet more is needed ||| Es ist notwendig , daß die Regierungskonferenz den Vertrag in der Weise ä nder t , daß das Grund recht auf Gleich beh and lung der Gesch l echt er dort ver ank ert wird . Aber es muß noch mehr getan werden
S ome are un n ecess ary because they are already cover ed while others are not accept able because they would mean chang ing existing law ||| Ein ige Änderungsanträge sind u nn ö tig , da ihr In halt bereits g ere ge lt ist , während andere Änderungsanträge nicht an nehm bar sind , weil sie auf eine Änderung des besteh enden Rechts hinaus lau fen
We must face up to the fact that we are talking about a red ist rib ution of inc ome and face what that invol ves ||| Wir müssen die Tatsach e zur Kennt nis n ehmen , daß wir über eine Um ver teilung der Ein kommen re den , und wir müssen zur Kennt nis n ehmen , was das bedeutet
The ban ning of over ti me will de pri ve b l ue -c o ll ar work ers of addition al ear ning s , and they will not be able to make end s meet with their basic pay al one ||| Arbeit er mü ß ten auf zu sätz liche Ein nah men ver z ichten , weil man ihnen Über st unden verb ie tet . Und wenn man ihnen nur ihren Grund lo hn b el äß t , dann werden sie am Mon at sen de mit dem Geld nicht hin kommen
In the case of these substan ces , applic ations are made for the Community to f i x m ax imum res id ue limit s , as provided for in Council Reg ul ation 2 3 7 7 / 9 0 ||| Was diese St off e ang eh t , so werden Ant räge auf Fest setzung gemeinschaft licher Rück stand s h ö ch st wer te im Sinne der Rat s ver ordnung 2 3 7 7 / 9 0 gestellt
I hope it will sp read a round here ||| Ich hoff e , sie findet hier weitere An häng er
At present , all r ad i o ac tive w ast e on the p en in s ul a is k ep t in medium -term st or age fa cili ties either on l and or on bo ard ship s ||| Gegen wär tig wird aller r a di o ak ti ver Ab fall auf der H al b in s el ent w eder in Zw ischen lag ern an Land oder auf Sch i ffen unter geb racht
I would , therefore , like to conclud e by saying that the Commission is being asked to do things , and to mention five things that we are doing or that we will do ||| Abschließend ste lle ich daher fest , daß die Kommission aufge forder t wird , t ätig zu werden , und möchte fünf Bereich e n en nen , in denen wir etwas unter nehmen oder etwas unter nehmen werden
On the other hand , know ledge , inst ant communic ations and mo bility will be the ch ar ac ter istic s of the tw ent y -f irst -c ent ur y economy ||| H ing egen werden W issen , schn elle Komm un ik ation und M ob ilität die K enn zeich en der Wirtschaft des ein und zw anz ig sten Jahr h under ts sein
They do not understand why Europe ex ists in the ory but not in reality ||| Sie versteh en nicht , war um Europa t he or e ti sch zwar ex ist iert , aber nicht in Wir k lichkeit
The fact of the matter is that in this cent ur y , 1 9 0 million people have been k ill ed in w ar s , 6 0 million of those in Europe ||| Tatsach e ist , daß in diesem Jahr h under t 1 9 0 Millionen Menschen in K rie gen um k amen , 6 0 Millionen davon in Europa
The debate on the state of the European Union is cl osed ||| Damit ist unsere Aussprache über den Stand der Europäischen Union ge schlossen
But that unfortun ately has become a tra dition ! ||| Aber das hat leider T ra di tion !
te le c omm un ic ations services ' where as we are in fact talking about the link ing of the fa cili ties of organ i z ations provid ing te le com services , which is the word ing of the o ri gin al ver sion and which we would pre fer ||| In W ahr heit geht es um l ink ing o f t he f a c il it ie s o f or ganis ation s pro v i ding t el e c om - s er v i c es . Das ist der Wort lau t der Or ig in al f assung , und den wür den wir vor zie hen
I consider the establish ment of a European mark that indic ates conf orm ity with European standards as an appropriate to ol of quality policy that can contrib ute to impro ving our competi tive position ||| Die Einführung einer europäischen K enn zeich nung , durch die die Kon for mit ä t mit den europäischen Nor men nach ge wiesen wird , halte ich für ein ge eig net es Mittel der Qu alität spolitik , die zu einer Verbesserung unserer Wettbewerb sp o si tion beit ragen kann
A re the control s able to be ex erc ised proper ly and to what extent are they actually effective ? ||| Kön nen die Kon tro llen auch tatsächlich durchge führt werden , und mit welch er konkreten Wir k ung ?
That is something our citizens can understand ||| Das ist etwas , was unsere Bürger versteh en
So , congratul ations to the organ i z ers and to the European Community m ission ||| G lück w ün sche also den Or ganis at oren und der M iss ion der Europäischen Gemeinschaft
This may have been than ks to the sen sible approach of the lead ing par ties or to the abs ence of the other e th n ic group , but it was certainly also than ks to the pres ence of I - F O R ||| S ei es dank der Ein sicht der führ enden Partei en , sei es m ang el s An w esen heit der anderen Volk s grupp e , sicher aber auch dank der P rä sen z der I F O R
They were deli ber ately process ed so s low ly by the S er b s that many of them were un able to vote ||| Sie wurden durch die S er ben bewuß t z ö ger lich abge fer tig t , so daß viele ihre S timm e nicht ab geben kon nten
A . E ven in a high ly li beral i zed market , work s of ar t constit ute an excep tion ||| Auch innerhalb eines weit geh end l iber alis ierten Markt es stell t das K un st werk eine Aus nahme dar
S ure ly not ||| S icher nicht
We believe there is no way that al c o h ol cons u mp tion can be des c rib ed as ' bene fic ial in mod er ation ' ||| Uns er er Meinung nach kann Al k oh ol kon s um nicht als " in Maß en gen o ssen w oh lt u end " be sch rie ben werden
We have some of the fin est d air y and be ef her d s but we also know every thing about B S E , which has h it us more than other areas ||| Wir haben einige der be sten R ind v ie h her den über h aupt , aber wir w issen auch alles über B S E , von der wir stärker als andere Gebiete betroffen sind
Madam President , I will make my contribution as brief as possible to make it e a si er for us to deal with the entire agenda ||| Frau Präsidentin , ich werde mich so kurz wie nur möglich f assen , damit wir die gesam te Tagesordnung ab arbeit en können
