We do not believe that we should cherry-pick . ||| Wir glauben nicht , daß wir nur Rosinen herauspicken sollten .
I constantly bring this matter up both in writing to the President and to the heads of the political groups . ||| Ich bringe diese Angelegenheit laufend schriftlich sowohl beim Präsidenten wie auch bei den Fraktionsleitern vor .
Question No 7 by María Izquierdo Rojo ( H-0252 / 96 ) ||| Anfrage Nr . 7 von María Izquierdo Rojo ( H-0252 / 96 ) :
It is a question of how decisions are taken , that is to say whether this is done on the basis of a vote or of consensus , and whether unanimity is required or some form of qualified majority . ||| Es geht darum , wie Beschlüsse gefaßt werden , d.h. ob dies durch Abstimmung oder Konsens geschieht , und ob Einstimmigkeit oder eine Form von Mehrheitsverfahren gilt .
Nepal is very high up and helping this country where needs are very great must also be high up on our list . ||| Nepal ist hochgelegen und muß auch an hoher Stelle unserer Tagesordnung stehen , um diesem Land , in dem große Not besteht , zu helfen .
This commitment to negotiations between the social partners could initially be reached on four matters , which seem to me essential , as of now . Negotiations must begin . ||| Eine solche Verpflichtung der Sozialpartner zu Verhandlungen könnte sich auf vier Teilbereiche konzentrieren , die mir von nun ab sehr wichtig erscheinen .
The Committee on Transport and Tourism has adopted four amendments for the second reading . ||| Der Transportausschuß hat für die zweite Lesung vier Änderungsanträge beschlossen .
They will certainly enhance the feeling of the right of movement by EU citizens and they will also certainly benefit disabled drivers . ||| Sie werden bei den EU-Bürgern gewiß das Gefühl für das Recht auf Freizügigkeit stärken , und sie werden gewiß auch behinderten Fahrern Vorteile bringen .
The initial Commission proposal was adopted unamended by Parliament on first reading . ||| Der ursprüngliche Vorschlag der Kommission wurde vom Parlament in erster Lesung ohne Änderungen verabschiedet .
Europe in particular has to remain a leading player if it is to safeguard its international competitiveness , not only in terms of economic performance but also in the exploitation and widespread application of new forms of technology . ||| Besonders Europa muß , um seine internationale Wettbewerbsfähigkeit zu sichern , nicht nur in seinen wissenschaftlichen Leistungen , sondern auch bei der Umsetzung und der breiten Anwendung neuer Technologien weiter mit an der Spitze stehen .
The absence of harmonized rules governing intellectual property is not unique to Europe . ||| Nicht nur in Europa gibt es noch keine harmonisierten Regelungen .
We are giving a clear political signal to the Moroccan authorities to continue along the road towards liberalization , political as well as economic . ||| Wir übermitteln den marokkanischen Behörden eine eindeutiges politisches Signal , auf dem Weg der Öffnung auf politischer wie wirtschaftlicher Ebene weiter voranzuschreiten .
Both demand a credible and active policy to reduce CO2 emissions through a combination of incentive , regulation and progressive taxation . ||| Beide erfordern eine glaubwürdige und aktive Politik zur Senkung der CO2 -Emissionen durch eine Kombination von Anreiz , Regulierung und progressiver Besteuerung .
This is something which the committee as a whole felt strongly about in the resolution on the annual economic report and it is a significant omission that it is not in the resolution to wind up this debate . ||| In diesem Punkt hat der gesamte Ausschuß hinsichtlich der Entschließung zum Jahreswirtschaftsbericht eine sehr dezidierte Auffassung . Es ist ein grobes Versäumnis , daß dies im Entschließungsentwurf fehlt und die Debatte so nicht weitergebracht wird .
It is like the story of Plato and the cave ; it is the signifier , not the signified . ||| Es ist die Geschichte von Platon und der Grotte , es geht um den Signifikant und nicht den Signifikat .
The Committee on Transport would therefore have been well advised to devote rather more attention to that committee 's proposals , which were adopted with the strong backing of the PPE Group and the support of the socialist Members . ||| Deswegen wäre der Verkehrsausschuß gut beraten gewesen , sich etwas intensiver mit den dort gemachten Vorschlägen auseinanderzusetzen , die damals mit breiter Zustimmung der EVP-Fraktion sowie mit Unterstützung der sozialistischen Mitglieder angenommen wurden .
In ten years , our dependence on fish imports has increased by 30 % ; and the processing industry depends almost entirely on imported fish . ||| In zehn Jahren ist unsere Abhängigkeit von den Einfuhren um 30 % gestiegen , und die Verarbeitungsindustrie hängt fast nur noch vom importierten Fisch ab .
I hope we can look at and address properly the issue of quota hoppers . ||| Ich hoffe , daß wir uns mit dem Problem der Quotenregelung angemessen auseinandersetzen können .
The Commission heeded this call . ||| Die Kommission hat diesen Appell vernommen .
Subject : Tendering procedures for mobile phone licences ||| Betrifft : Ausschreibungsverfahren für Mobiltelefonlizenzen
This means that terrestrial frequencies may face new competition in a form over which Europeans no longer have any influence . ||| Das heißt , daß hier in Konkurrenz zu den terrestrischen Frequenzen etwas entstehen könnte , das wir Europäer nicht mehr mitgestalten können .
What I am saying is that we agree with the House on the need for action . ||| Das heißt also , wir glauben mit dem Parlament , daß hier etwas geschehen muß .
Thank you very much , Mr Bangemann . ||| Vielen Dank , Herr Kommissar Bangemann .
This sort of ungentlemanly conduct is not acceptable . ||| Eine solche unseriöse Politik ist nicht zulässig .
It does not solve the employment problem if the most we can do is offer firms new profit margins , which provides no guarantee of employment , and also damages the environment and social security . ||| Auf diese Art und Weise löst man das Beschäftigungsproblem nicht ; das bietet höchstens den Unternehmen neue Gewinnmargen , gibt aber keinerlei Beschäftigungsgarantie , sondern schädigt die Umwelt und die soziale Sicherheit .
It is all very well to have common minimum rules on the employment of children , but my wife and I do not need an EU directive to decide whether our son should deliver newspapers . ||| Mindestvorschriften für Kinderarbeit sind sehr gut , aber meine Frau und ich brauchen keine Richtlinien der EU , die uns sagen , ob unser Sohn Zeitungen austragen darf oder nicht .
So it is also necessary to establish very quickly whether the international presence in Bosnia , so fundamental to any reconstruction effort , is to continue . ||| Deshalb sollte auch in dieser Hinsicht rasch für den weiteren Verbleib einer internationalen Präsenz in Bosnien gesorgt werden , die als Grundlage für jede Art Wiederherstellungsversuch unerläßlich ist .
I am grateful to the President-in-Office for his answer . However , I am sorry to have to say that the results of the Di Roberto mission fall short of our expectations . ||| Ich danke dem amtierenden Ratspräsidenten für seine Antwort , muß jedoch leider hinzufügen , daß die Ergebnisse der Mission Di Robertos nicht unseren Erwartungen entsprechen .
Therefore there is a need for a European directive . ||| Deshalb besteht die Notwendigkeit einer europäischen Richtlinie .
The procedure followed : complaints declared admissible and prima facie founded are communicated to the institution or body in question , which is asked to give a first opinion . ||| Es folgte das Verfahren : als zulässig befundene und prima facie begründete Beschwerden werden der betreffenden Institution bzw. Organ mitgeteilt , die bzw. das ersucht wird , eine erste Stellungnahme abzugeben .
The work of the European Ombudsman and the Petitions Committee is complementary . ||| Die Arbeit des Europäischen Bürgerbeauftragten und des Petitionsausschusses ist komplementär .
The annual activity report clearly states how the Ombudsman 's office works and what citizens should do if they want to take matters to the Ombudsman for consideration . ||| Aus dem Tätigkeitsbericht geht deutlich hervor , wie das Büro des Bürgerbeauftragten arbeitet und wie die Bürger vorgehen sollen , damit ihre Angelegenheit behandelt wird .
Her supporters know that by gathering together they are defying the ruling junta . ||| Ihre Anhänger wissen , daß sie mit ihren Versammlungen der herrschenden Junta die Stirn bieten .
The military authorities are still playing too great a part in the social and political life of that nation . ||| Die Macht des Militärs ist noch immer allgegenwärtig im gesellschaftlichen und politischen Alltag dieser Nation .
The report clearly defines which beverages may be bottled in sparkling wine bottles . ||| Es wird im Berichtsvorschlag klar definiert , welche Getränke in Schaumweinflaschen abgefüllt werden dürfen .
Because crémant , which has acquired its patent of nobility here , is not an issue just for one region but for the European Union , too . ||| Weil der " Crémant " , der hier seinen Adelsbrief erhalten hat , nicht nur eine Region , sondern die gesamte Europäische Union angeht .
Since we took the initiative of tabling the oral question there has been some progress . ||| Seitdem wird uns entschlossen haben , die mündliche Anfrage einzubringen , wurden bereits einige Fortschritte erzielt .
But our first concern is to preserve fish stocks , and especially herring stocks . ||| Unser Hauptanliegen ist jedoch die Erhaltung der Fischbestände , insbesondere beim Hering .
The Commission , for its part , will continue to play an active part in the intergovernmental conference . ||| Die Kommission wird bei der Regierungskonferenz auch weiterhin eine aktive Rolle spielen .
Let me say to Mrs Green and the other Members that it is not true that the conciliation agreement with the European Parliament on the infrastructure projects was unilaterally changed at Florence . ||| Frau Green und die anderen Kollegen möchte ich darauf aufmerksam machen , daß es nicht stimmt , daß in Florenz die Vermittlungsabsprache mit dem Europäischen Parlament für Infrastrukturprojekte unilateral abgeändert worden ist .
Another problem the Molitor Group does not sufficiently deal with is implementation . ||| Außerdem wird das Problem der unzureichenden Umsetzung von der Molitor-Gruppe nicht ausreichend behandelt .
The same difficulty applies , mutatis mutandis as far as the European Parliament is concerned . ||| Mutatis mutandis trifft der gleiche Einwand auch auf das Europäische Parlament zu .
The resolution submitted by our Committee on Women 's Rights deserves the support of the European Parliament , the Commission and the Council . ||| Die vorliegende Entschließung unseres Ausschusses für die Rechte der Frau ist die Zustimmung des Europäischen Parlaments , der Europäischen Kommission und des Rates wert .
My answer - and I hope Parliament 's too - will be a directive aimed at introducing a statutory right to interest for firms paid unwarrantably late . ||| Meine Antwort - und ich hoffe auch die des Parlaments - ist , daß wir eine Richtlinie brauchen , die einen gesetzlichen Anspruch auf die Zahlung von Verzugszinsen durch Unternehmen begründet , die Zahlungen absichtlich hinauszögern .
It is an especial problem for our 17 million small and medium-sized enterprises . ||| Für unsere 17 Mio. kleinen und mittleren Unternehmen stellen sie jedoch ein besonders gravierendes Problem dar .
It is local authorities and large organization , quangos and national governments which are by and large responsible for a very high proportion of that . ||| Im großen und ganzen sind auch die örtlichen Behörden und großen Organisationen , die halbstaatlichen Organisationen und Regierungen zu einem großen Teil schuld an der Misere .
Madam President , the European Council in Florence gave the impression of enormous confusion where the problems of employment are concerned . ||| Frau Präsidentin , in Fragen der Beschäftigung hat der Europäische Rat von Florenz ein sehr verwirrendes Bild geboten .
I took it over at the beginning of this Parliament , a lot of the work on it having already been done by a colleague of mine , Claude Delcroix . ||| Ich habe ihn zu Beginn der Wahlperiode dieses Parlaments übernommen , und ein Großteil der Arbeit daran wurde bereits von meinem Kollegen Claude Delcroix geleistet .
Representatives of all sectors of industry have indicated , at a public hearing , that they see huge problems with the Commission proposals . ||| Vertreter aus allen Bereichen der Industrie haben bei einer öffentlichen Anhörung erklärt , daß sie durch die Vorschläge der Kommission erhebliche Schwierigkeiten auf sich zukommen sehen .
Firstly , in drawing up any new proposal , the Council and the Commission must take account of the views of the trade unions . ||| Als erstes : Jeder neue Entwurf ist unter Hinzuziehung der Gewerkschaften auszuarbeiten .
Are there any other comments ? ||| Gibt es Einwände ?
We therefore wish to see clear wording here as well . ||| Deswegen wollen wir auch hier klare Formulierungen .
Nevertheless , the rejection of consumptive embryo research - and on this point we are agreed - requires consistency . ||| Die Ablehnung der verbrauchenden Embryonenforschung - in diesem Punkt sind wir uns ja einig - bedingt aber auch eine Konsequenz .
No such decision has as yet been taken . ||| Ein entsprechender Beschluß ist noch nicht gefaßt worden .
The scheme was to be set up this autumn and the aid paid direct to women 's networks by the Commission . ||| Sie soll angeblich bereits zum Herbst eingeführt und von der Kommission direkt an Frauennetzwerke ausgezahlt werden .
I therefore congratulate the European Parliament for having organized this debate , and would end by thanking you for inviting the Commission to take part in it . ||| Daher gratuliere ich dem Europäischen Parlament zu seiner Initiative , diese Debatte zu veranstalten , und ich möchte Ihnen zum Schluß Dank für die Beteiligung der Kommission an dieser Debatte sagen .
How can one remain independent or claim to be combating corruption if , at the same time , one is in receipt of largesse , obviously with strings attached ? ||| Wie soll einer seine Unabhängigkeit wahren , wie kann er behaupten , gegen Korruption vorzugehen , wenn er selbst Zuwendungen annimmt , die natürlich irgendwelchen Interessen dienen ?
Citizens have a better grasp of their rights and obligations . ||| Das Verständnis der Bürger für ihre Rechte und Pflichten hat sich verbessert .
And the Dublin European Council will reconfirm 1 January , 1999 as the beginning of the Third Stage of EMU . ||| Der Europäische Rat in Dublin wird den 1. Januar 1999 als Beginn der Dritten Stufe der EWU nochmals bestätigen .
In my view that reinforces the argument that one should not believe that EMU will automatically mean jobs . ||| Das bedeutet meines Erachtens ein stichhaltiges Argument dafür , nicht darauf zu vertrauen , daß die WWU automatisch zur Schaffung von Arbeitsplätzen führt .
The first one is in relation to the Helms-Burton legislation and our relations with the United States . ||| Zunächst geht es um das Helms-Burton-Gesetz und unsere Beziehungen zu den Vereinigten Staaten .
If you look at Parliament 's diary for 1997 , you will find that 8 and 15 September are actually Sundays and week-ending days , not week-beginning days . ||| Wenn Sie nun einen Blick auf den Tagungskalender des Parlaments für 1997 werfen , werden Sie feststellen , daß der 8. und der 15. September jeweils Sonntage sind und somit die Woche beenden und nicht beginnen .
Meier recommendation for second reading ||| Zur Empfehlung für die zweite Lesung Meier
Recently a German Council official told me that his Brussels office might as well be in Bonn , as his main point of reference was the German Foreign Ministry . ||| Kürzlich teilte mir ein deutscher Bediensteter des Rates mit , daß sein Brüsseler Büro ebensogut in Bonn sein könne , da sein Hauptbezugspunkt das deutsche Außenministerium sei .
We refer to this in paragraph 4 of our resolution , the fourth indent , where we specifically state that the current approach is based on wishful thinking . ||| In Absatz 4.4 unserer Entschließung weisen wir ausdrücklich darauf hin , daß sich der aktuelle Ansatz auf ein reines Wunschdenken stützt .
A major part of this work will be ensuring greater economic policy coordination between all 15 Member States . ||| Ein großer Teil der Arbeit wird darin bestehen , eine größere politische Koordination zwischen allen 15 Mitgliedsstaaten sicherzustellen .
This would cut down a great deal on abductions . ||| Dadurch würde die Zahl der Kindesentführungen wesentlich gesenkt werden .
Traditionally , responsibility for decisions on custody has rested with national authorities . ||| Traditionell wird die Verantwortung für Beschlüsse in Fragen des Sorgerechts national geregelt .
Of course there is a difference . ||| Natürlich gibt es da einen Unterschied .
At the same time , I cannot approve of terrorist acts in any form . ||| Ferner kann ich terroristische Handlungen , in welcher Form auch immer , nicht akzeptieren .
The volume of production in the sheepmeat sector is only 10 to 15 % of that in the beef and veal sector . ||| Die Schaffleischerzeugung entspricht ja nur 10 % bis 15 % der Rindfleischerzeugung .
This is the whole point ! ||| Das ist der Punkt !
The necessary correction will be made . ||| Eine entsprechende Änderung wird vorgenommen werden .
Madam President , our main concern through this report and through this vote was , once more , to make it clear to the Commission that we will not accept further cuts in spending on development . ||| Frau Präsidentin ! Uns ging es bei diesem Bericht bzw. bei dieser Abstimmung noch einmal darum , der Kommission klar zu machen , daß wir die weitere Streichung von Geldern im Entwicklungsbereich nicht hinnehmen wollen .
But yesterday 's papers said that Heineken had not in fact pulled out . ||| Gestern aber stand in der Zeitung , daß sich Heineken überhaupt nicht zurückgezogen habe .
The repatriation operations are progressing smoothly . ||| Die Rückführungsvorgänge laufen übrigens reibungslos ab .
Israel also points the way in the production of educational software . ||| Ebenfalls im Bereich der Produktion von educational software ist Israel wegweisend .
At the same time , it contributes to a reduction in the amount of beef produced . ||| Gleichzeitig führt sie zu einer Reduzierung der Rindfleischproduktion .
I thus look forward eagerly to the Commission 's communication and I should like to start this debate afresh with a number of questions . ||| Also erwarte ich die Mitteilung der Kommission sehr gespannt und bin gern zu einer neuerlichen Debatte bereit , bei der ich eine Reihe Fragen stellen möchte .
I know that it is not easy , or something that can be achieved by tomorrow morning . Speaking for myself , I simply want us to be able to conduct our deliberations on a more reliable basis . ||| Ich weiß , daß dies nicht leicht ist ; es kann auch nicht von heute auf morgen geschehen , doch halte ich es wünschenswert , daß wir anhand zuverlässigerer Daten diskutieren .
The Commission has not even got as far as submitting a proposal . ||| Die Kommission hat noch nicht einmal einen richtigen Vorschlag dazu eingereicht .
We do not need a central office for the whole of Europe which centrally compiles all the offences that have to be entered in the record of penalty points ! ||| Wir brauchen keine zentrale Stelle für ganz Europa , wo alle Ordnungswidrigkeiten , die einen Eintrag ins Punkteregister nach sich ziehen , zentral gesammelt werden !
But I would like to know what percentage of all customs officials in those countries are trained to operate this kind of system . ||| Aber ich würde doch gern einmal hören , welcher Anteil der gesamten Zollbeamten dieser Länder soweit ausgebildet ist , daß er mit dieser Art System umgehen kann .
How is it possible for the Commission to extend the transit system to other eastern countries before a system in collapse has been completely reformed in order to curb fraud ? ||| Wie kann die Kommission das Versandverfahren auf die anderen Ostländer ausdehnen , bevor ein kollabierendes Verfahren vollständig reformiert worden ist , um die Betrügereien einzudämmen ?
We believe that the resources should be increased in line with the problems and needs of our country and that measures must be put in place to speed up the absorption of funding and to monitor its use . ||| Wir sind der Ansicht , daß die Mittel entsprechend den Problemen und den Bedürfnissen unseres Landes erhöht werden müssen , außerdem sind Maßnahmen zur Beschleunigung des Mittelabflusses und zur Kontrolle ihrer Verwendung zu ergreifen .
The vote will take place tomorrow at 12 noon . ||| Die Abstimmung findet morgen um 12.00 Uhr statt .
Finally , paragraph 93 states that the extreme right-wing parties advocate xenophobia . ||| Schließlich wird in Absatz 93 behauptet , daß die rechtsextremen Parteien Fremdenfeindlichkeit begünstigen .
Asking for asylum is not a crime , and should not be treated as such . ||| Denn ein Asylantrag ist keine kriminelle Tat und darf auch nicht so behandelt werden .
( rapporteur : Mr van der Waal ) . ||| ( Berichterstatter : Herr van der Waal )
There is a need for continuity in decisions of the kind we have already taken here in the House on telecommunications infrastructure . ||| Es bedarf einer Kontinuität von Beschlüssen , wie wir sie bereits zu den Telekommunikationsinfrastrukturen in diesem Hause gefaßt haben .
We need detailed , concrete proposals . ||| Wir benötigen detaillierte , konkrete Vorschläge .
Unfortunately , at this stage the running is being made by American companies and we are much slower in catching up on development of this software . ||| Leider machen die amerikanischen Firmen derzeit das Rennen . Wir haben einen Nachholbedarf in bezug auf die Entwicklung derartiger Software und sind viel langsamer .
Consequently , as my report says , this is what we must do . ||| Infolgedessen müssen wir - wie in meinem Bericht erläutert - entsprechend vorgehen .
( Parliament adopted the legislative resolution ) ||| ( Das Parlament nimmt den Entwurf der legislativen Entschließung an . )
The IGC must amend the Treaty so that it includes the fundamental right of equality between the sexes , but yet more is needed . ||| Es ist notwendig , daß die Regierungskonferenz den Vertrag in der Weise ändert , daß das Grundrecht auf Gleichbehandlung der Geschlechter dort verankert wird . Aber es muß noch mehr getan werden .
Some are unnecessary because they are already covered while others are not acceptable because they would mean changing existing law . ||| Einige Änderungsanträge sind unnötig , da ihr Inhalt bereits geregelt ist , während andere Änderungsanträge nicht annehmbar sind , weil sie auf eine Änderung des bestehenden Rechts hinauslaufen .
We must face up to the fact that we are talking about a redistribution of income and face what that involves . ||| Wir müssen die Tatsache zur Kenntnis nehmen , daß wir über eine Umverteilung der Einkommen reden , und wir müssen zur Kenntnis nehmen , was das bedeutet .
The banning of overtime will deprive blue-collar workers of additional earnings , and they will not be able to make ends meet with their basic pay alone . ||| Arbeiter müßten auf zusätzliche Einnahmen verzichten , weil man ihnen Überstunden verbietet . Und wenn man ihnen nur ihren Grundlohn beläßt , dann werden sie am Monatsende mit dem Geld nicht hinkommen .
In the case of these substances , applications are made for the Community to fix maximum residue limits , as provided for in Council Regulation 2377 / 90 . ||| Was diese Stoffe angeht , so werden Anträge auf Festsetzung gemeinschaftlicher Rückstandshöchstwerte im Sinne der Ratsverordnung 2377 / 90 gestellt .
I hope it will spread around here . ||| Ich hoffe , sie findet hier weitere Anhänger .
At present , all radioactive waste on the peninsula is kept in medium-term storage facilities either on land or on board ships . ||| Gegenwärtig wird aller radioaktiver Abfall auf der Halbinsel entweder in Zwischenlagern an Land oder auf Schiffen untergebracht .
I would , therefore , like to conclude by saying that the Commission is being asked to do things , and to mention five things that we are doing or that we will do . ||| Abschließend stelle ich daher fest , daß die Kommission aufgefordert wird , tätig zu werden , und möchte fünf Bereiche nennen , in denen wir etwas unternehmen oder etwas unternehmen werden .
On the other hand , knowledge , instant communications and mobility will be the characteristics of the twenty-first-century economy . ||| Hingegen werden Wissen , schnelle Kommunikation und Mobilität die Kennzeichen der Wirtschaft des einundzwanzigsten Jahrhunderts sein .
They do not understand why Europe exists in theory but not in reality . ||| Sie verstehen nicht , warum Europa theoretisch zwar existiert , aber nicht in Wirklichkeit .
The fact of the matter is that in this century , 190 million people have been killed in wars , 60 million of those in Europe . ||| Tatsache ist , daß in diesem Jahrhundert 190 Millionen Menschen in Kriegen umkamen , 60 Millionen davon in Europa .
The debate on the state of the European Union is closed . ||| Damit ist unsere Aussprache über den Stand der Europäischen Union geschlossen .
But that unfortunately has become a tradition ! ||| Aber das hat leider Tradition !
telecommunications services ' whereas we are in fact talking about the linking of the facilities of organizations providing telecom services , which is the wording of the original version and which we would prefer . ||| In Wahrheit geht es um linking of the facilities of organisations providing telecom-services . Das ist der Wortlaut der Originalfassung , und den würden wir vorziehen .
I consider the establishment of a European mark that indicates conformity with European standards as an appropriate tool of quality policy that can contribute to improving our competitive position . ||| Die Einführung einer europäischen Kennzeichnung , durch die die Konformität mit den europäischen Normen nachgewiesen wird , halte ich für ein geeignetes Mittel der Qualitätspolitik , die zu einer Verbesserung unserer Wettbewerbsposition beitragen kann .
Are the controls able to be exercised properly and to what extent are they actually effective ? ||| Können die Kontrollen auch tatsächlich durchgeführt werden , und mit welcher konkreten Wirkung ?
That is something our citizens can understand . ||| Das ist etwas , was unsere Bürger verstehen .
So , congratulations to the organizers and to the European Community mission . ||| Glückwünsche also den Organisatoren und der Mission der Europäischen Gemeinschaft .
This may have been thanks to the sensible approach of the leading parties or to the absence of the other ethnic group , but it was certainly also thanks to the presence of I-FOR . ||| Sei es dank der Einsicht der führenden Parteien , sei es mangels Anwesenheit der anderen Volksgruppe , sicher aber auch dank der Präsenz der IFOR .
They were deliberately processed so slowly by the Serbs that many of them were unable to vote . ||| Sie wurden durch die Serben bewußt zögerlich abgefertigt , so daß viele ihre Stimme nicht abgeben konnten .
A. Even in a highly liberalized market , works of art constitute an exception . ||| Auch innerhalb eines weitgehend liberalisierten Marktes stellt das Kunstwerk eine Ausnahme dar .
Surely not . ||| Sicher nicht .
We believe there is no way that alcohol consumption can be described as ' beneficial in moderation ' . ||| Unserer Meinung nach kann Alkoholkonsum nicht als " in Maßen genossen wohltuend " beschrieben werden .
We have some of the finest dairy and beef herds but we also know everything about BSE , which has hit us more than other areas . ||| Wir haben einige der besten Rindviehherden überhaupt , aber wir wissen auch alles über BSE , von der wir stärker als andere Gebiete betroffen sind .
Madam President , I will make my contribution as brief as possible to make it easier for us to deal with the entire agenda . ||| Frau Präsidentin , ich werde mich so kurz wie nur möglich fassen , damit wir die gesamte Tagesordnung abarbeiten können .
Madam President , surely we must take things seriously ! ||| Frau Präsidentin , bleiben wir doch ernsthaft !
I shall therefore now also give the floor to Mr Dell ' Alba once again on a point of order . ||| Deswegen gebe ich auch Herrn Dell ' Alba jetzt noch einmal das Wort zur Geschäftsordnung .
The common position does indeed incorporate many of the amendments proposed by Parliament at first reading . ||| Der gemeinsame Standpunkt enthält in der Tat die meisten der vom Parlament in der ersten Lesung verabschiedeten Änderungsanträge .
I think that I echo the whole House in wishing you , on behalf of all our colleagues , all the very best for your political career in your home country , Austria . You have our warmest wishes . ||| Ich meine der Empfindung dieses Hauses zu entsprechen , wenn ich Ihnen im Namen aller Kollegen viel Erfolg bei Ihrer politischen Tätigkeit in Ihrem Land , in Österreich , wünsche und Sie ganz herzlich grüße .
Let us think back to the television without frontiers directive , Parliament 's first reading of which was completely ignored , because the Commission preferred to take the Council 's side . ||| Nehmen wir zum Beispiel das Thema Fernsehen ohne Grenzen ; dabei ist die erste Lesung des Parlaments völlig vernachlässigt worden , und dies , weil sich die Kommission auf die Seite des Rates geschlagen hat .
For example , we were to maintain an open and transparent dialogue which would be accessible to the man in the street , an agreement which was defined in greater detail in the declaration of 25 October 1993 . ||| Wir hatten vereinbart , einen offenen Dialog zu führen , der durchschaubar und auch für die Bürger Europas verständlich sein würde . Diese Vereinbarung ist übrigens in der Erklärung vom 25. Oktober 1993 noch mehr im einzelnen ausgearbeitet worden .
At the start of 1996 , there were 21 392 . ||| Zu Beginn des Jahres 1996 waren es insgesamt 21392 .
There is no hesitation in talking about ' reserves which are contrary to the principles of budgetary orthodoxy ' . ||| Ohne zu zögern wird von " Rückstellungen " gesprochen , die " gegen die Grundsätze der orthodoxen Haushaltsführung " seien .
The next item is Question Time to the Commission ( B4-0971 / 96 ) ||| Nach der Tagesordnung folgen die Anfragen an die Kommission ( B4-0971 / 96 ) .
It highlights in particular the advantages offered by short-sea shipping in the Baltic as a means of access to Scandinavia and to the CIS . ||| Dadurch werden insbesondere die Vorteile betont , die die Kurzstreckenseeverkehr in der Ostsee als Verbindungsmöglichkeit nach Skandinavien und in die GUS darstellt .
Whilst I support everything that my colleague , Ms Morgan has said , it is a wider issue than that . ||| Ich schließe mich den Worten meiner Kollegin Frau Morgan an , glaube jedoch , daß dieses Thema viel umfassender ist .
If research has been carried out by several people or institutions in various different countries , it could be almost impossible to obtain consent . ||| Wenn die Untersuchung in verschiedenen Ländern von mehreren Personen oder Einrichtungen durchgeführt worden ist , kann die Einholung der Zustimmung eine Aufgabe sein , die kaum zu lösen ist .
The second point relates to a suitable budgetary allocation , as opposed to that proposed by the Council , which is totally inadequate and unacceptable . ||| Der zweite Punkt betrifft eine angemessene Haushaltsausstattung anstelle des völlig unzureichenden und inakzeptablen Vorschlags des Rates . Das Europäische Parlament schlägt in seinem Abänderungantrag Nr .
With its proposal , the Commission is well on the way to undermining the whole point of the E number system . ||| Die Kommission untergräbt mit ihrem Vorschlag den ganzen Zweck des E-Nummernsystems .
